,Fighter_ID,Fighter_Name,matches
367,81d9df19e255b8b6,Jarred Brooks The Monkey God,Jarred Brooks
368,a7d687e6ecb30981,Rob Broughton The Bear,
369,0974d8d4053a7237,Lee Brousseau Manimal,
370,31123249b0bbf52e,Matt Brown The Immortal,
371,e0b74df14f52cd15,Mike Brown ,Mike Brown
372,52b3ec072ad497a4,Dominic Brown ,
373,9b68bf67c5695185,Todd Brown Bulldog,
374,85df85a4e276c90e,Terrell Brown ,
375,9e2624ac992660c6,Chris Brown ,Chris Brown
376,880c6b788266a3ef,Frederick Brown ,
377,c6aee362c7a7d482,Randy Brown Rudeboy,Randy Brown
378,d024ed963e8bf7ea,Damien Brown Beatdown,
379,d31cbcdd7d69536d,TJ Brown Downtown,
380,e9e7e1c8ff289e1b,Humberto Brown Morrison ,
381,3236bf606fe9fa5b,Travis Browne Hapa,
382,d74cba8566291bfa,Junie Browning ,
383,d1dcd4e96464a53d,Jules Bruchez ,
384,5f8e00c27b7e7410,Justin Bruckmann Loaf,
385,f14f644d41ade29f,Cody Brundage ,Cody Brundage
386,2f3f12002564bb55,Steve Bruno Hollywood,
387,b8c0f30ee9a98b69,Fernando Bruno Acougueiro,
388,b1a3e0aca758b322,Derek Brunson ,Derek Brunson
389,01f022fa494188e2,Josh Bryant The Beast,
390,3b17353b8002c7d0,Dennis Bryant The Beard,Dennis Bryant
391,231926533134ec1f,Justin Buchholz ,
392,6bbb8dc6e128779e,Zak Bucia ,
393,3feed7d02711d8b7,Courtney Buck ,
394,b9437600497350f3,Joaquin Buckley New Mansa,Joaquin Buckley
395,dcdc4503b9d49977,Julia Budd ,Julia Budd
396,b98209144b63ae26,Mike Budnik ,
397,a72d260b436924c4,Francisco Bueno ,
398,cc8c623cca88f54f,Mayra Bueno Silva Sheetara,"Mayra Bueno Silva, Mayra Bueno"
399,f0abbb6f3444dae7,Paul Buentello The Headhunter,
400,476fe566d2df676e,Modestas Bukauskas The Baltic Gladiator,Modestas Bukauskas
401,c0342805a1948cbb,Lee Kwan Bum ,
402,9900ab86a4c458bd,Josh Bumgarner ,
403,6e9af164ab91a229,Shawn Bunch Bunch the Great,Shawn Bunch
404,2296125b6c362355,Wuliji Buren Beast Master,Wuliji Buren
405,98d961097baaf308,Shane Burgos Hurricane,
406,6da99156486ed6c2,Joshua Burkman The People's Warrior,
407,69f01b25dfabaf6b,Mads Burnell ,Mads Burnell
408,4c805f5f58a75df0,Mikey Burnett The Eastside Assassin,
409,a6d8bfe9e0c8153b,Kevin Burns The Fire,Kevin Burns
410,23024fdfc966410a,Gilbert Burns Durinho,Gilbert Burns
411,1e092415a7eeaf65,Josh Burns The Hammer,Josh Burns
412,4f140403000158b5,Herbert Burns The Blaze,
413,2213330f082f82d5,Derrick Burnsed ,
414,2c64c035485906aa,Nah-Shon Burrell The Rock n Rolla,
415,8fc30d8cebb17116,Martin Buschkamp ,
416,f0c779dc2ca3816c,George Bush ,
417,132505067f08c54d,Bubba Bush The Fightin' Texas Aggie,
