Fighter_ID,Fight_ID,Fight_Name,Weight_Class,Opponent,Method,Round_End,Time_End,Fight_format,Referee,Details
68d4a891e5cf2029,2a8e1f19b8a94295,DWCS 3.6,Women's Flyweight Bout,Mariya Agapova,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Chris Tognoni,26 - 30.26 - 30.27 - 29.
621a6c59f88a44fe,d84f88ac792e8c53,UFC 26: Ultimate Field Of Dreams,Welterweight Bout,Marcelo Aguiar,TKO - Doctor's Stoppage,1,4:34,      3 Rnd (5-5-5),Mario Yamasaki,Facial Cut
8b69839f3555a67b,1206dc7d5228f5bd,WFA - King of the Streets,Middleweight Bout,Edwin Aguilar,KO/TKO,1,2:43,      3 Rnd (5-5-5),,to 
cd2c4d30c6e13b47,f5a038c18f7a44fc,UFC Fight Night: Barboza vs. Gaethje,Women's Strawweight Bout,Jessica Aguilar,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Keith Peterson,Cardo Urso 26 - 29.David Brogan 27 - 29.Wilfredo Cintron 27 - 29.
1ebe20ebbfa15e29,a932059e61f4c25e,UFC Fight Night: Blaydes vs. Ngannou 2,Women's Strawweight Bout,Jessica Aguilar,Submission,1,3:41,      3 Rnd (5-5-5),Peter Hickmott,Armbar On Ground 
8f382b3baa954d2a,7fe2b6a9fc4748fa,UFC Fight Night: Dos Santos vs. Ivanov,Women's Strawweight Bout,Jodie Esquibel,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Herb Dean,27 - 30.28 - 29.28 - 29.
8f382b3baa954d2a,af2ef75664656957,UFC 211: Miocic vs. Dos Santos,Women's Strawweight Bout,Cortney Casey,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Kerry Hatley,Dan Mathisen 27 - 30.Chris Reed 27 - 30.Aladin Martinez 27 - 30.
ec34349e7dffcde7,0bf405dabb25251a,UFC 190: Rousey vs Correia,Women's Strawweight Bout,Jessica Aguilar,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Mario Yamasaki,Richard Bertrand 27 - 30.Guilherme Bravo 27 - 30.Joseph Terrell 27 - 30.
cf946e03ba2e7666,1f2f27b36e79da74,UFC 262: Oliveira vs. Chandler,Featherweight Bout,Tucker Lutz,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Jacob Montalvo,Marcos Rosales 28 - 29.Danny De Alejandro 28 - 29.Joshua Ferraro 27 - 30.
40093d1d2d78394e,1109a8f2adc81ce0,UFC Fight Night: Eye vs. Calvillo,Lightweight Bout,Kevin Aguilar,Decision - Split,3,5:00,      3 Rnd (5-5-5),Mark Smith,Eric Colon 28 - 29.Sal D'amato 28 - 29.Dave Hagen 29 - 28.
cf946e03ba2e7666,f882cf76a8bce308,UFC Fight Night: Felder vs. Hooker,Featherweight Bout,Zubaira Tukhugov,KO/TKO,1,3:21,      3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground 
82a5152216251682,f047e3605f8852d8,UFC Fight Night: Moicano vs. The Korean Zombie,Featherweight Bout,Kevin Aguilar,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Jimmy Neely,Eric Colon 28 - 29.Nikki Messer 28 - 29.Derek Cleary 27 - 29.
be0b310a12eb80b4,6173056f0e080ca6,UFC Fight Night: Barboza vs. Gaethje,Featherweight Bout,Kevin Aguilar,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Bill Bookwalter,Eric Colon 28 - 29.Wilfredo Cintron 28 - 29.Cardo Urso 28 - 29.
814ff3018127e8fc,4e6bbc5832e55f64,The Ultimate Fighter: Heavy Hitters Finale,Featherweight Bout,Kevin Aguilar,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Chris Tognoni,Adalaide Byrd 27 - 30.Chris Lee 27 - 30.Glenn Trowbridge 27 - 30.
cf946e03ba2e7666,ca7f63aca5581fa8,DWCS 2.4,Lightweight Bout,Joey Gomez,Decision - Split,3,5:00,      3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Dave Hagen 28 - 29.Junichiro Kamijo 29 - 28.
51c655162e462ceb,420f7e6530dbc727,UFC 290: Volkanovski vs. Rodriguez,Flyweight Bout,Jesus Aguilar,KO/TKO,1,0:17,      3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance 
4461d7e47375a895,a26ca06cce403ce2,UFC Fight Night: Lewis vs. Spivac,Flyweight Bout,Jesus Aguilar,Submission,1,4:20,      3 Rnd (5-5-5),Chris Tognoni,Triangle Armbar From Bottom Guard 
1c2a8915f8431507,e5c5fcd3042d339d,DWCS 6.5,Flyweight Bout,Jesus Aguilar,Submission,3,1:56,      3 Rnd (5-5-5),Mike Beltran,Guillotine Choke After Drop to Guard 
ae071698e1a3ccd4,37fda56a435a9b24,UFC Fight Night: Rodriguez vs. Waterson,Welterweight Bout,Carlston Harris,Submission,1,2:52,      3 Rnd (5-5-5),Marc Goddard,Anaconda Choke On Ground 
45f7cb591c3ab00b,c5ba56d51f6b0171,UFC Fight Night: Smith vs. Rakic,Welterweight Bout,Christian Aguilera,Submission,2,1:47,      3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Mount 
3c5005b66696d790,58e72b1a38880ba9,UFC Fight Night: Eye vs. Calvillo,Welterweight Bout,Christian Aguilera,KO/TKO,1,0:59,      3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance 
e4ba58725825412d,9f09e77e46f15766,UFC Fight Night: Strickland vs. Imavov,Featherweight Bout,Nick Aguirre,Decision - Unanimous,3,5:00,      3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30.Ron McCarthy 27 - 30.Adalaide Byrd 27 - 30.
9e3dbb9c68ed5d1a,cb640b7dcc9db7e8,Strikeforce Challengers 1,Lightweight Bout,Billy Evangelista,Overturned,2,3:42,      3 Rnd (5-5-5),Herb Dean,Early Stoppage
f57a8a52ca401ed9,431f9bad886eb2ae,EliteXC - Uprising,Lightweight Bout,Mike Aina,Decision - Split,3,5:00,      3 Rnd (5-5-5),Steve Mazzagatti,Richie Cabinian 27 - 30.Mike Onzuka 29 - 28.Kyle Takao 28 - 29.
